Material,Data de remessa mais recente,Soma de Saldo,Último UM pedido,Primeiro Fornecedor
35390002161,2023-07-05 00:00:00,2000,UN,ITALICA IND. DE EMBALAGENS LTDA
35390002510,2023-07-03 00:00:00,1700,UN,ITALICA IND. DE EMBALAGENS LTDA
35390002527,2023-07-05 00:00:00,1200,UN,ITALICA IND. DE EMBALAGENS LTDA
35390002880,2023-07-05 00:00:00,50,UN,ITALICA IND. DE EMBALAGENS LTDA
35390003700,2023-07-05 00:00:00,500,UN,ITALICA IND. DE EMBALAGENS LTDA
35390003730,2023-07-05 00:00:00,540,UN,ITALICA IND. DE EMBALAGENS LTDA
35390003920,2023-07-05 00:00:00,300,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004380,2023-07-05 00:00:00,1135,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004416,2023-07-05 00:00:00,260,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004431,2023-07-03 00:00:00,525,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004437,2023-07-03 00:00:00,1500,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004442,2023-07-03 00:00:00,1276,UN,CALDENSE EMBALAGENS LTDA
35390004443,2023-07-03 00:00:00,2063,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004445,2023-07-03 00:00:00,2527,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004457,2023-07-05 00:00:00,250,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004466,2023-07-03 00:00:00,600,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004467,2023-07-05 00:00:00,925,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004469,2023-07-05 00:00:00,1936,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004472,2023-07-05 00:00:00,166,UN,BRAGHETO PALETES LTDA - EPP
35390004515,2023-07-05 00:00:00,380,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004527,2023-07-05 00:00:00,3000,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004546,2023-07-05 00:00:00,675,UN,ITALICA IND. DE EMBALAGENS LTDA
